symbol,direction,entry_time,close_time,holding_minutes,holding_hours,entry_price,close_price,pnl,close_reason,probability,quality_score
XRP/USDT:USDT,long,2026-01-27T19:56:59,2026-01-27T20:20:51,23.87,0.4,1.9064,1.9235,1.14,Take Profit достигнут (1.92),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T20:17:20,2026-01-27T20:18:08,0.8,0.01,2993.19,2993.16,-0.0,Take Profit достигнут (2958.10),92.0,38.0
ETH/USDT:USDT,long,2026-01-27T20:18:02,2026-01-27T20:18:05,0.05,0.0,2993.19,2993.03,-0.01,Take Profit достигнут (2958.10),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T19:26:22,2026-01-27T20:08:24,42.03,0.7,7.773e-06,7.806e-06,0.43,Take Profit достигнут (0.00),65.0025,36.0
SHIB/USDT:USDT,long,2026-01-27T19:26:40,2026-01-27T20:08:23,41.72,0.7,7.773e-06,7.806e-06,0.43,Take Profit достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T19:27:19,2026-01-27T20:08:21,41.03,0.68,7.773e-06,7.806e-06,0.43,Take Profit достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T19:27:28,2026-01-27T20:08:18,40.83,0.68,7.773e-06,7.806e-06,0.43,Take Profit достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T19:27:57,2026-01-27T20:08:16,40.32,0.67,7.773e-06,7.806e-06,0.43,Take Profit достигнут (0.00),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T19:47:15,2026-01-27T19:57:14,9.98,0.17,393.7,390.73,-0.75,Stop Loss достигнут (391.67),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T19:47:27,2026-01-27T19:57:12,9.75,0.16,393.7,390.75,-0.75,Stop Loss достигнут (391.67),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T19:47:27,2026-01-27T19:48:30,1.05,0.02,2987.55,2985.69,-0.06,Take Profit достигнут (2959.20),92.0,26.0
ETH/USDT:USDT,long,2026-01-27T19:48:18,2026-01-27T19:48:28,0.17,0.0,2987.55,2985.62,-0.07,Take Profit достигнут (2959.20),0.0,0.0
